organizations,course_title
['University of Michigan'],"Sleep: Neurobiology, Medicine, and Society"
['SAS'],SAS Advanced Programmer Professional Certificate
['University of Pennsylvania'],Gamification
['DeepLearning.AI'],TensorFlow: Data and Deployment Specialization
['Google Cloud'],Building Scalable Java Microservices with Spring Boot and Spring Cloud
['University of Colorado Boulder'],Introduction to FPGA Design for Embedded Systems
['University of Colorado Boulder'],First Order Optical System Design
['University of Colorado Boulder'],"Everyday Excel, Part 1"
['IBM'],IBM Data Analyst Capstone Project
['The University of North Carolina at Chapel Hill'],Introduction to Environmental Law and Policy
['IBM '],IBM AI Enterprise Workflow Specialization
['SAS'],Data Literacy: Exploring and Visualizing Data Specialization
['University of Illinois at Urbana-Champaign'],Ordered Data Structures
['JetBrains'],Kotlin for Java Developers
['University of Michigan'],Using Databases with Python
['IBM'],Supervised Machine Learning: Regression
['Wesleyan University'],Schizophrenia
['University of Toronto'],Communication Strategies for a Virtual Age
['Emory University'],Weight Management: Beyond Balancing Calories
['SAS'],Getting Started with SAS Programming
['Hebrew University of Jerusalem'],Build a Modern Computer from First Principles: Nand to Tetris Part II (project-centered course)
['University of Alberta'],Bugs 101: Insect-Human Interactions
['Qualcomm Academy'],5G for Everyone
['Advancing Women in Tech'],Real-World Engineering Management Specialization
['Duke University'],Introduction to Chemistry:  Reactions and Ratios
['University of Pennsylvania'],Introduction to Intellectual Property
['Tableau Learning Partner'],Introduction to Business Analytics
['The Pennsylvania State University'],Dairy Production and Management
['Universidad Austral'],Legal Tech and the Digital Transformation of Law
['Duke University'],"Programming Foundations with JavaScript, HTML and CSS"
"['University of California, Davis']",Fundamentals of Visualization with Tableau
['The Hong Kong University of Science and Technology'],Software Engineering Specialization
['Macquarie University'],Storytelling and influencing: Communicate with impact
['Johns Hopkins University'],Introduction to Genomic Technologies
['University of Colorado System'],Secure Software Design Specialization
['Queen Mary University of London'],Cloud Computing Law Specialization
['Infosec'],Cybersecurity Foundations Specialization
['University of California San Diego'],Data Structures
['Google Cloud'],Introduction to AI and Machine Learning on Google Cloud
['University of Michigan'],"Capstone: Retrieving, Processing, and Visualizing Data with Python"
"['University of Alberta', 'Alberta Machine Intelligence Institute']",Sample-based Learning Methods
['Arizona State University'],Sustainability Analyst Fundamentals Specialization
['MathWorks'],Image Processing for Engineering and Science Specialization
['University of Colorado Boulder'],Project Planning and Execution
['LearnQuest'],Spring Framework Specialization
['DeepLearning.AI'],"Custom Models, Layers, and Loss Functions with TensorFlow"
['University of Washington'],"Programming Languages, Part A"
['University of Colorado Boulder'],Fundamentals of Software Architecture for Big Data
['University of Virginia'],How Things Work: An Introduction to Physics
"['University of California, Davis']","Data Wrangling, Analysis and AB Testing with SQL"
"['University of California, Irvine']",Introduction to Computer Information Systems Specialization
['Microsoft'],Microsoft PL-300 Exam Preparation and Practice
['DeepLearning.AI'],Advanced Computer Vision with TensorFlow
['Meta'],Coding Interview Preparation
['Duke University'],"Python, Bash and SQL Essentials for Data Engineering Specialization"
['University of Toronto'],Introduction to Self-Driving Cars
['PwC'],Problem Solving with Excel
['IBM'],Building AI Applications with Watson APIs
['University of Pennsylvania'],Robotics: Aerial Robotics
['Korea Advanced Institute of Science and Technology(KAIST)'],MRI Fundamentals
['Imperial College London'],Mathematics for Machine Learning: Multivariate Calculus
['University of Colorado Boulder'],Embedded Software and Hardware Architecture
['The Hong Kong University of Science and Technology'],FinTech: Finance Industry Transformation and Regulation Specialization
['The University of Melbourne'],Discrete Optimization
"['University of London', 'SOAS University of London']",Global Energy and Climate Policy
['University of Minnesota'],Introduction to Software Testing
['IBM'],"ETL and Data Pipelines with Shell, Airflow and Kafka"
['Northeastern University '],Health Informatics for Healthcare Professionals
"['University of California, Davis']",JavaScript for Beginners Specialization
['National Academy of Sports Medicine'],Science of Diet and Exercise Specialization
"['University of California, Santa Cruz']",Bayesian Statistics: From Concept to Data Analysis
['University of Illinois at Urbana-Champaign'],Unordered Data Structures
['University of Michigan'],Anatomy: Musculoskeletal and Integumentary Systems
['IBM'],Building Deep Learning Models with TensorFlow
['University of Michigan'],Introduction to Thermodynamics: Transferring Energy from Here to There
['Duke University'],"Spark, Hadoop, and Snowflake for Data Engineering"
['University of Michigan'],Introduction to Structured Query Language (SQL)
['Google Cloud'],Introduction to Google Workspace Administration
['IBM'],Application Development using Microservices and Serverless
['The State University of New York'],Practical Time Series Analysis
['DeepLearning.AI'],AI and Climate Change
['Johns Hopkins University'],Precalculus through Data and Modelling Specialization
['SAP'],Understanding the Enterprise Systems Environment
['University of Colorado Boulder'],Business Writing
['Northeastern University '],Healthcare Analytics Essentials
['EDHEC Business School'],Introduction to Portfolio Construction and Analysis with Python
['University of Geneva'],Precision Medicine
['MathWorks'],Computer Vision for Engineering and Science Specialization
['Siemens'],Introduction to Model-Based Systems Engineering
['Microsoft'],Creative Designing in Power BI
['IBM'],AI Capstone Project with Deep Learning
['University of Toronto'],The Social Context of Mental Health and Illness
['Duke University'],Managing Machine Learning Projects
['University of California San Diego'],Drug Development
['University of Pennsylvania'],Microeconomics: The Power of Markets
['Stanford University'],Probabilistic Graphical Models 1: Representation
['DeepLearning.AI'],AI for Medical Prognosis
['Columbia University'],Social Policy for Social Services & Health Practitioners  Specialization
['Microsoft'],Deploy and Maintain Power BI Assets and Capstone project
['Vanderbilt University'],Android App Development Specialization
['University of Illinois at Urbana-Champaign'],Global Impact: Business Ethics
['Erasmus University Rotterdam'],Earth Economics
['University of Leeds'],Fundamental Skills in Engineering Design
['DeepLearning.AI'],Custom and Distributed Training with TensorFlow
['University of Florida'],Personal & Family Financial Planning
['DeepLearning.AI'],Apply Generative Adversarial Networks (GANs)
['University of Colorado System'],Researcher Management and Leadership Training
['University of Pennsylvania'],Positive Psychology: Resilience Skills
['Imperial College London'],Introduction to Statistics & Data Analysis in Public Health
['IBM'],Specialized Models: Time Series and Survival Analysis
['IBM'],Information Technology (IT) Fundamentals for Everyone
['Coursera Project Network'],Introduction to Microsoft Excel
['IBM'],Supervised Machine Learning: Classification
['Tableau Learning Partner'],Introduction to Tableau
['University of Illinois at Urbana-Champaign'],Hands-on Internet of Things Specialization
['King Abdullah University of Science and Technology'],Fundamental Skills in Bioinformatics
['Microsoft'],Create Machine Learning Models in Microsoft Azure
['Johns Hopkins University'],Mastering Software Development in R Specialization
"['University at Buffalo', 'The State University of New York']",Blockchain Basics
['Coursera Project Network'],Introduction to Python
['Rice University'],Leadership Development for Engineers Specialization
['Splunk Inc.'],Splunk Search Expert Specialization
['University of Toronto'],Introduction to GIS Mapping
['Yonsei University'],Introduction to TCP/IP
['University of Michigan'],"Python Functions, Files, and Dictionaries"
['University of Western Australia'],Blood Film Morphology - A Practical Guide
['Johns Hopkins University'],The Social and Technical Context of Health Informatics
['University of Amsterdam'],Basic Statistics
['University of Colorado Boulder'],Linux System Programming and Introduction to Buildroot
['Queen Mary University of London'],Econometrics for Economists and Finance Practitioners Specialization
['Johns Hopkins University'],Introduction to the Biology of Cancer
['Scrimba'],"Build AI Apps with ChatGPT, Dall-E, and GPT-4"
"['University of Colorado Boulder', 'University of California San Diego']",Gut Check: Exploring Your Microbiome
"['University of Alberta', 'Alberta Machine Intelligence Institute']",Prediction and Control with Function Approximation
['IBM'],Assessment for Data Analysis and Visualization Foundations
"['New York Institute of Finance', 'Google Cloud']",Using Machine Learning in Trading and Finance
['Johns Hopkins University'],Essential Epidemiologic Tools for Public Health Practice
['IBM'],Deep Learning and Reinforcement Learning
['The State University of New York'],International Cyber Conflicts
"['University of London', 'Goldsmiths, University of London']",Responsive Website Development and Design Specialization
['University of Colorado Boulder'],Embedded Interface Design Specialization
['Google Cloud'],Analyzing and Visualizing Data in Looker
['IBM'],Advanced Machine Learning and Signal Processing
"['University of California, Davis']",Foundations of Sensory Science Specialization
['Coursera Project Network'],Getting Started with R
['University of Colorado System'],Introduction to C# Programming and Unity
['Goodwill Industries International'],Foundations of Career Navigating and Coaching
['Vanderbilt University'],Hot Topics in Criminal Justice
['Meta'],Introduction to iOS Mobile Application Development
['University of Manchester   '],Introduction to Physical Chemistry
"['University of California, Irvine']",Virtual Teacher Specialization
['ESSEC Business School'],Strategic Business Analytics Specialization
"['Stanford University', 'The University of British Columbia']",Game Theory II: Advanced Applications
['Infosec'],Computer Forensics Specialization
['University of Illinois at Urbana-Champaign'],VLSI CAD Part II: Layout
['University of Michigan'],The Influence of Social Determinants on Health Specialization
['University of Michigan'],"Foundations of Sports Analytics: Data, Representation, and Models in Sports"
['Meta'],Django Web Framework
['Microsoft'],Microsoft Azure for Data Engineering
['Stanford University'],Introduction to Logic
['University of Michigan'],The Science of Success: What Researchers Know that You Should Know
['Tsinghua University'],Learn English Specialization
['Johns Hopkins University'],Summary Statistics in Public Health
['University of Amsterdam'],Qualitative Research Methods
"['UNSW Sydney (The University of New South Wales)', 'IEEE Geoscience and Remote Sensing Society']","Remote Sensing Image Acquisition, Analysis and Applications"
['University of Michigan'],Total Data Quality Specialization
['Arizona State University'],Experimental Design Basics
['University of Colorado Boulder'],Graphic Design
['Duke University'],Human Factors in AI
['LearnQuest'],Introduction to Java
['Google AR & VR'],Introduction to Augmented Reality and ARCore
['Codio'],Programming in Python: A Hands-on Introduction Specialization
['Siemens'],Introduction to Digital Transformation
['Stanford University'],Rebuilding Our Relationship with Food
['IE Business School'],"Globalization, Economic Growth and Stability Specialization"
['University of Florida'],Science of Training Young Athletes Part 2
['National Academy of Sports Medicine'],Nutrition Education for the Consumer Specialization
['Macquarie University'],Data Visualization in Excel
['Tableau Learning Partner'],Business Analysis Process
['Automation Anywhere'],Implementing RPA with Cognitive Automation and Analytics Specialization
['Autodesk'],"Introduction to CAD, CAM, and Practical CNC Machining"
['DeepLearning.AI'],AI For Medical Treatment
['University of Washington'],Social Media Data Analytics
['University of Toronto'],State Estimation and Localization for Self-Driving Cars
['IBM'],Full Stack Software Developer Assessment
['University of Minnesota'],Preventing Chronic Pain: A Human Systems Approach
['Board Infinity '],Fundamentals of Java Programming
['University of Colorado Boulder'],Introduction to High-Performance and Parallel Computing
['SAS'],Statistics with SAS
"['University of Alberta', 'Alberta Machine Intelligence Institute']",A Complete Reinforcement Learning System (Capstone)
['DeepLearning.AI'],Neuronale Netze und Deep Learning
['University of Minnesota'],Recommender Systems Specialization
['Tel Aviv University'],Understanding Plants - Part I: What a Plant Knows
['The State University of New York'],Global Health Diplomacy
['Karlsruhe Institute of Technology'],Machine Translation
"['Birla Institute of Technology & Science, Pilani']",Introduction to Programming
['Duke University'],Rust Fundamentals
['University of Colorado System'],Computer Security and Systems Management Specialization
['Advancing Women in Tech'],Real-World Cloud Product Management Specialization
['Google Cloud'],Architecting with Google Kubernetes Engine: Foundations
['LearnQuest'],Swift 5 iOS Application Developer Specialization
['University of Illinois at Urbana-Champaign'],Planet Earth...and You!
['Tableau Learning Partner'],Data Visualization with Tableau
['University of Colorado Boulder'],Software Architecture Patterns for Big Data
['IBM'],Full Stack Cloud Development Capstone Project
"['University of California, Davis']","GIS Data Formats, Design and Quality"
['Peking University'],Advanced Neurobiology I
['IBM'],Unsupervised Machine Learning
['University of Michigan'],Database Design and Basic SQL in PostgreSQL
['IBM'],Designing User Interfaces and Experiences (UI/UX)
['Board Infinity '],.Net Full Stack Foundation
"['University of California, Irvine']",Supply Chain Planning
['University of Illinois at Urbana-Champaign'],Introduction to Business Analytics and Information Economics Specialization
['Georgia Institute of Technology'],Machine Design Part I
['Scrimba'],Learn JavaScript
['DeepLearning.AI'],Generative Deep Learning with TensorFlow
['Johns Hopkins University'],Linear Algebra: Linear Systems and Matrix Equations
['University of Pennsylvania'],"English for Science, Technology, Engineering, and Mathematics"
"['University of California, Davis']",Research Proposal: Initiating Research
['Coursera Instructor Network'],Leveraging AI for Enhanced Content Creation
['IBM'],Data Analysis with R
['University of Alberta'],Design Patterns
['University of California San Diego'],Finding Hidden Messages in DNA (Bioinformatics I)
"['University of California, Irvine']","Functions, Methods, and Interfaces in Go"
['Meta'],Introduction to Data Analytics
['University of Illinois at Urbana-Champaign'],Getting Started with CyberGIS
['Sapienza University of Rome'],Recovering the Humankind's Past and Saving the Universal Heritage
['Google Cloud'],Managing Google Workspace
['University of Geneva'],Ecosystem Services: a Method for Sustainable Development
['University of Colorado Boulder'],#talkmentalillness
['Databricks'],Apache Spark (TM) SQL for Data Analysts
['Imperial College London'],Linear Regression in R for Public Health
['Google Cloud'],How Google does Machine Learning
['University of Colorado Boulder'],Introduction to Data Analytics for Business
['Meta'],APIs
['The University of Edinburgh'],"Philosophy, Science and Religion: Science and Philosophy"
['Board Infinity '],"Build Website with HTML, JavaScript, AngularJS, and React Specialization"
['EIT Digital '],Privacy and Standardisation Specialization
['Rice University'],Human Anatomy & Physiology II Specialization
['Codio'],Web Technologies and Security Specialization
['Vanderbilt University'],"Introduction to Data, Signal, and Image Analysis with MATLAB"
['Illinois Tech'],Introduction to Relational Databases
['Universiteit Leiden'],Population Health: Predictive Analytics
['IBM'],Information Technology (IT) Fundamentals for Everyone
['Google'],Google IT Support Professional Certificate
['IBM'],IBM IT Support  Professional Certificate
['IBM'],Information Technology (IT) and Cloud Fundamentals Specialization
['Google'],Technical Support Fundamentals
['Amazon Web Services'],Introduction to Information Technology and AWS Cloud
['IBM'],IBM Full Stack Software Developer Professional Certificate
"['University of Maryland, College Park']",Cybersecurity for Everyone
['IBM'],Introduction to Networking and Storage
['Cisco Learning and Certifications'],Cybersecurity Operations Fundamentals Specialization
['The Hong Kong University of Science and Technology'],"Information Systems Auditing, Controls and Assurance"
['Google'],Google IT Automation with Python Professional Certificate
['Microsoft'],Microsoft Cybersecurity Analyst Professional Certificate
['Coursera Project Network'],MySQL with Information Technology
['IBM'],IBM Data Engineering Professional Certificate
['University of Leeds'],Foundations of Software Testing and Validation
"['IBM', 'SkillUp EdTech']",IBM IT Project Manager Professional Certificate
['Google Cloud'],Google Cloud Fundamentals: Core Infrastructure
['Infosec'],JavaScript Security Specialization
['IBM'],Introduction to Hardware and Operating Systems
['IBM'],Introduction to Cybersecurity Essentials
['Google'],IT Security: Defense against the digital dark arts
['Johns Hopkins University'],Health Information Technology Fundamentals
['Northeastern University '],Healthcare Data Management and Information Systems
['Coursera Project Network'],Introduction to Networks and Cisco Devices
['IBM'],IBM Data Warehouse Engineer Professional Certificate
['Coursera Project Network'],Vulnerability Scanning with Nmap: Network Scanning
['Coursera Project Network'],Command Line in Linux
['IBM'],Data Engineering Foundations Specialization
['Coursera Project Network'],Build a free website with WordPress
['Google Cloud'],Reliable Google Cloud Infrastructure: Design and Process
['Coursera Project Network'],Azure: Create a Virtual Machine and Deploy a Web Server
['Coursera Project Network'],Getting Started with Power BI Desktop
['Microsoft'],Introduction to virtual machines in Microsoft Azure
['EIT Digital '],Security and Privacy for Big Data - Part 1
['Illinois Tech'],Introduction to Data Networks and the Internet - Bachelor's
['Coursera Project Network'],Develop a free website with WordPress
['Google'],The Bits and Bytes of Computer Networking
['IBM'],Introduction to Cloud Computing
['Infosec'],Computer Forensics Specialization
['Google'],Operating Systems and You: Becoming a Power User
['Illinois Tech'],Computer Networking
['NVIDIA'],Introduction to Networking
['Yonsei University'],Big Data Emerging Technologies
['Korea Advanced Institute of Science and Technology(KAIST)'],Introduction to Quantum Information
['Yonsei University'],IoT (Internet of Things) Wireless & Cloud Computing Emerging Technologies
['IBM'],Coding for Beginners: An Easy Introduction
"['University of London', 'Bloomsbury Learning Exchange']",Get Interactive: Practical Teaching with Technology
['IBM'],"Cybersecurity Roles, Processes & Operating System Security"
['IBM '],Malware Analysis and Introduction to Assembly Language
"['Akamai Technologies, Inc.']",Networking Fundamentals
['Infosec'],Cyber Incident Response Specialization
['Google Cloud'],Elastic Google Cloud Infrastructure: Scaling and Automation
['Coursera Project Network'],Creating Database Tables with SQL
['Cisco Learning and Certifications'],Network Security
['University of Michigan'],Industrial Internet of Things (IIoT)
['Politecnico di Milano'],Being a researcher (in Information Science and Technology)
['Infosec'],Python for Cybersecurity Specialization
['IBM'],"Core 2: OS, Software, Security and Operational Procedures"
['Google'],Foundations of Business Intelligence
['University of Michigan'],Digital Technologies and the Future of Manufacturing  Specialization
['IBM'],Software Developer Career Guide and Interview Preparation
['Google'],Using Python to Interact with the Operating System
['Microsoft'],Introduction to Computers and Operating Systems and Security
['University System of Georgia'],Cybersecurity and Mobility
['Cisco Learning and Certifications'],Security Operations Center (SOC)
['Coursera Project Network'],Manipulating Data with SQL
['Columbia University'],Construction Project Management
['Google Cloud'],Security in Google Cloud Specialization
['Codio'],Introduction to Operating Systems Specialization
['Google Cloud'],Site Reliability Engineering: Measuring and Managing Reliability
['Coursera Project Network'],Retrieve Data using Single-Table SQL Queries
['Johns Hopkins University'],Healthcare IT Support Specialization
['Microsoft'],Cybersecurity Tools and Technologies
['Yonsei University'],AR (Augmented Reality) & Video Streaming Services Emerging Technologies
['Google'],Troubleshooting and Debugging Techniques
['EC-Council'],Ethical Hacking Essentials (EHE)
['University of Minnesota'],IT Infrastructure and Emerging Trends
"['University of California, Irvine']",Data Warehousing and Business Intelligence
['Cisco Learning and Certifications'],Network Automation Engineering Fundamentals Specialization
['Coursera Instructor Network'],Introduction to Cybersecurity Fundamentals
['Meta'],Introduction to Databases
['Google Cloud'],Modernize Infrastructure and Applications with Google Cloud
['IBM'],"Introduction to Containers w/ Docker, Kubernetes & OpenShift"
['Vanderbilt University'],Data Management for Clinical Research
['Cisco Learning and Certifications'],DevOps for Network Automation (NetDevOps)
['Google Cloud'],Essential Google Cloud Infrastructure: Foundation
"['Nanyang Technological University, Singapore']",Introduction to Forensic Science
['IBM'],Cyber Threat Intelligence
['Google Cloud'],Networking in Google Cloud Specialization
['Knowledge Accelerators'],From Excel to Power BI
['Google Cloud'],Essential Google Cloud Infrastructure: Core Services
['Knowledge Accelerators'],Customer Service Fundamentals
['IBM'],"Penetration Testing, Incident Response and Forensics"
['IBM'],"DevOps, Cloud, and Agile Foundations Specialization"
['CompTIA'],CompTIA a+ Network
['EIT Digital '],Mastering Digital Twins
['Infosec'],Introduction to Python for Cybersecurity
['The University of Sydney'],eHealth: More than just an electronic record
['Google Cloud'],Introduction to Image Generation
['Coursera Project Network'],Understanding Basic SQL Syntax
['University System of Georgia'],The Foundations of Cybersecurity
['IBM '],Linux System Administration with IBM Power Systems
['Cisco Learning and Certifications'],Endpoints and Systems
['Illinois Tech'],Linux OS
['Microsoft'],Microsoft Azure Management Tools and Security Solutions
['LearnQuest'],Basics of Cisco Networking
['Infosec'],"Credential Access, discovery, lateral movement & collection"
['IBM '],IBM Data Topology
['Illinois Tech'],OS Security
['The State University of New York'],International Cyber Conflicts
['Infosec'],Windows Registry Forensics
['Microsoft'],Artificial Intelligence on Microsoft Azure
"['Akamai Technologies, Inc.']",Introduction to IT Security
['Coursera Project Network'],Getting started with Azure IOT Hub
['IBM'],Introduction to Data Engineering
['IBM'],Cybersecurity Fundamentals Specialization
['Infosec'],Windows OS Forensics
['Google'],Configuration Management and the Cloud
['Illinois Tech'],Mobile Computing and Cloud
['LearnQuest'],Cloud Computing Basics (Cloud 101)
['Google'],Introduction to Git and GitHub
['Infosec'],"Python for Command-and-control, Exfiltration and Impact"
['Google Cloud'],Architecting with Google Kubernetes Engine Specialization
['Amazon Web Services'],AWS Cloud Solutions Architect  Professional Certificate
['Google Cloud'],Getting Started with Google Kubernetes Engine
['Association of International Certified Professional Accountants'],Blockchain Evolution and Technology Concepts
['Infosec'],JavaScript Security Refreshers
['Google Cloud'],Architecting with Google Compute Engine Specialization
['Google Cloud'],Preparing for Google Cloud Certification: Machine Learning Engineer Professional Certificate
['IBM'],IBM Cybersecurity Analyst Assessment
['Coursera Project Network'],Retrieve Data with Multiple-Table SQL Queries
"['Akamai Technologies, Inc.']",Operating Systems Fundamentals
['IBM'],Network Basics on Microsoft Windows
['Infosec'],JavaScript Security Part 3
['University of Colorado System'],Cybersecurity for Business Specialization
['University of Illinois at Urbana-Champaign'],"Cloud Computing Applications, Part 1: Cloud Systems and Infrastructure"
['IBM '],IBM z/OS Mainframe Practitioner Professional Certificate
['LearnQuest'],Linux Fundamentals
['Microsoft'],Microsoft Power Platform Fundamentals
['University of Pennsylvania'],Fintech: Foundations & Applications of Financial Technology Specialization
['Howard University'],Introduction to Information Systems for Business Specialization
['Google Cloud'],Preparing for Your Associate Cloud Engineer Journey
['Google Cloud'],Preparing for Google Cloud Certification: Cloud Engineer Professional Certificate
['Howard University'],Foundations of Information Systems for Business
['IBM'],Core 1: Hardware and Network Troubleshooting
['Microsoft'],Cybersecurity Management and Compliance
['University of Colorado System'],Computer Security and Systems Management Specialization
['IBM'],Preparation for CompTIA A+ Certification Specialization
['Google Cloud'],Google Cloud Database Engineer Specialization
['Coursera Project Network'],Command Line Basics in Linux
['Google Cloud'],Preparing for Google Cloud Certification: Cloud Security Engineer Professional Certificate
['Coursera Project Network'],Python Database Connection with MariaDB From Infosys
['Meta'],Advanced MySQL Topics
['Google Cloud'],Getting started with Google Workspace Specialization
['EIT Digital '],Security and Privacy for Big Data - Part 2
"['Akamai Technologies, Inc.']",Managing Relational Databases
['Google Cloud'],Contact Center AI: Conversational Design Fundamentals
['Cisco Learning and Certifications'],Threat Analysis
['Intel'],AI Essentials
['IBM'],IBM Applied DevOps Engineering Professional Certificate
['Google - Spectrum Sharing'],Become a CBRS Certified Professional Installer by Google
['Google Cloud'],Preparing for Google Cloud Certification: Cloud Developer Professional Certificate
['Amazon Web Services'],AWS Cloud Practitioner Essentials
['LearnQuest'],ITIL 4 Exam Preparation
"['IBM ', 'Red Hat']",Linux and Private Cloud Administration on IBM Power Systems Specialization
['Microsoft'],Microsoft Azure Security Engineer Associate (AZ-500) Professional Certificate
['LearnQuest'],Oracle SQL Databases Specialization
['Coursera Project Network'],Wireshark for Basic Network Security Analysis
['Whizlabs'],Exam Prep AZ-104: Microsoft Azure Administrator Associate Specialization
['Palo Alto Networks'],Palo Alto Networks Cybersecurity Professional Certificate
['University of Alberta'],Bugs 101: Insect-Human Interactions
['SkillUp EdTech'],Office Productivity Software Specialization
['Red Hat'],Cloud-Native Development with OpenShift and Kubernetes Specialization
['Google Cloud'],Introduction to AI and Machine Learning on Google Cloud
['Duke University'],"Python, Bash and SQL Essentials for Data Engineering Specialization"
['Korea Advanced Institute of Science and Technology(KAIST)'],MRI Fundamentals
['University of Illinois at Urbana-Champaign'],An Introduction to Accessibility and Inclusive Design
['Amazon Web Services'],Introduction to Machine Learning on AWS
['IBM '],Introduction to Enterprise Computing
['IBM'],Cybersecurity Capstone:  Breach Response Case Studies
['Duke University'],"Spark, Hadoop, and Snowflake for Data Engineering"
['Codio'],Unix and Bash for Beginners Specialization
['IBM'],Fundamentals of Scalable Data Science
['Google Cloud'],Google Cloud Infrastructure for AWS Professionals Specialization
['Microsoft'],Cybersecurity Threat Vectors and Mitigation
['The University of Hong Kong'],Implant Dentistry
['University of Geneva'],Precision Medicine
['IBM'],Introduction to NoSQL Databases
['Amazon Web Services'],Migrating to the AWS Cloud
['University of Minnesota'],Cybersecurity in the Cloud Specialization
['LearnQuest'],CompTIA Exam Prep
['IBM'],Django Application Development with SQL and Databases
['Google Cloud'],Exploring Data Transformation with Google Cloud
['Macquarie University'],Excel Skills for Business Forecasting Specialization
['Red Hat'],Fundamentals of Red Hat Enterprise Linux
['University of Colorado System'],Electric Utilities Fundamentals and Future
['Johns Hopkins University'],Introduction to DevSecOps
['Google Cloud'],Getting started with Flutter Development
['Edureka'],Fundamentals of Data Governance
"['University of Maryland, College Park']",Entrepreneurship: Launching an Innovative Business Specialization
['University of Cape Town'],Introduction to Small Molecule Drug Discovery & Development
['Advancing Women in Tech'],Real-World Cloud Product Management Specialization
['Google Cloud'],Google Sheets
['Microsoft'],Cybersecurity Solutions and Microsoft Defender
['IBM '],Getting Started on Mainframe with z/OS Commands and Panels
['University of Colorado System'],Introduction to Applied Cryptography Specialization
['Amazon Web Services'],Exam Prep: AWS Certified Cloud Practitioner Foundations
['Coursera Project Network'],ChatGPT with Python: Build a Chatbot With the OpenAI API
['Microsoft'],Microsoft Azure Services and Lifecycles
['Red Hat'],Fundamentals of Red Hat Enterprise Linux 9
['University System of Georgia'],The GRC Approach to Managing Cybersecurity
['LearnQuest'],CompTIA Practice
['The University of Sydney'],Using clinical health data for better healthcare
['EIT Digital '],Development of Secure Embedded Systems Specialization
['Codio'],Cloud Computing Primer for Semi-tech and Business Learners Specialization
['ESSEC Business School'],The Fundamentals of Revenue Management: The Cornerstone of Revenue Strategy
['EIT Digital '],Becoming a Cybersecurity Consultant
['Coursera Project Network'],Snowflake for Beginners: Make your First Snowsight Dashboard
['Google Cloud'],Building Batch Data Pipelines on Google Cloud
['Amazon Web Services'],Exam Prep: AWS Certified Solutions Architect - Associate
['Coursera Project Network'],Promptly for Beginners: Build a Generative AI App
['Infosec'],Cyber Threat Hunting
['Microsoft'],Advanced Cybersecurity Concepts and Capstone Project
['Oracle'],Oracle Cloud Infrastructure Foundations
['Infosec'],Cybersecurity Risk Management Framework Specialization
['Georgia Institute of Technology'],Material Processing
['University of Minnesota'],Enterprise Systems
['Amazon Web Services'],Containerized Applications on AWS
['Coursera Project Network'],Beginning SQL Server
['Google Cloud'],Developing Data Models with LookML
['Blue Prism'],Blue Prism Foundation Training
['IBM '],Basic System Programming on IBM Z
['Google Cloud'],Fraud Detection on Financial Transactions with Machine Learning on Google Cloud
['University of Minnesota'],Cloud Security Basics
['Google Cloud'],Scaling with Google Cloud Operations
['Splunk Inc.'],Splunk Search Expert 101
['Microsoft'],Secure Access with Azure Active Directory
['Google Cloud'],Gmail
['Red Hat'],Foundations of Red Hat Cloud-native Development
['University of Minnesota'],Analysis for Business Systems
['Coursera Project Network'],Midjourney for Beginners: Craft an Exquisite Piece of AI Art
['Google Cloud'],Google Calendar
['Google Cloud'],Generative AI with Vertex AI: Getting Started
['Google Cloud'],Google Slides
['Microsoft'],Explore Core Data Concepts in Microsoft Azure
['Coursera Project Network'],PowerBI Report Development Crash Course
['University of Colorado Boulder'],Advanced Topics and Future Trends in Database Technologies
['Coursera Project Network'],Securing Azure SQL Database
['SkillUp EdTech'],Practice Exam for Certified Scrum Master (CSM) Certification
['Microsoft'],Microsoft Azure SQL
['Amazon Web Services'],Integrating AWS with the SDK
['Codio'],Unix System Basics
['SkillUp EdTech'],Scrum Master Capstone
['University System of Georgia'],Managing Network Security
['Coursera Project Network'],Data Cleaning in Snowflake: Techniques to Clean Messy Data
['Google Cloud'],Infrastructure as Code with Terraform
['Coursera Project Network'],Beginner's guide to AWS Identity and Access Management (IAM)
['Google Cloud'],A Tour of Google Cloud Hands-on Labs
['Google Cloud'],Machine Learning Operations (MLOps) with Vertex AI: Manage Features
['Amazon Web Services'],Developing Applications in Python on AWS
['VMware'],Networking and Security Architecture with VMware NSX
['The University of Hong Kong'],Epidemics
"['University of California, Irvine']",Security Governance & Compliance
['Coursera Project Network'],Data Management with Databricks: Big Data with Delta Lakes
['IBM'],Google Chrome Security and Extensions for Beginners
['University of Michigan'],Innovations in Investment Technology: Artificial Intelligence
['Whizlabs'],Infrastructure Automation with Terraform
['Google Cloud'],Preparing for your Professional Cloud Architect Journey
['Georgia Institute of Technology'],Software Defined Networking
['University of Colorado System'],"Data Warehouse Concepts, Design, and Data Integration"
['University of Michigan'],Additive Manufacturing
['Google Cloud'],Networking in Google Cloud: Defining and Implementing Networks
['LearnQuest'],Advanced Network Security Specialization
['Google Cloud'],Deploying SAP on Google Cloud
['Codio'],Intro to Operating Systems 1: Virtualization
['Amazon Web Services'],Data Analytics and Databases on AWS
['Illinois Tech'],Introduction to Data Networks and the Internet - Master's
['Microsoft'],Microsoft Azure Relational Databases
['Google Cloud'],Pivot Tables in Google Sheets
