course_title,domain,level,course_type,schedule,course_url,duration,rating
Go Beyond the Numbers: Translate Data into Insights,DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/go-beyond-the-numbers-translate-data-into-insight,35 hours (approximately),4.8
Data Science and Analysis Tools - from Jupyter to R Markdown Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/codio-data-science-python-jupyter-r-rstudio,3 months at 2 hours a week,3.5
Data Analytics for Lean Six Sigma,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-analytics-for-lean-six-sigma,Approx. 11 hours to complete,4.8
Human Resources Analytics,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/human-resources-analytics,Approx. 5 hours to complete,4.6
Introduction to Machine Learning,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/machine-learning-duke,Approx. 25 hours to complete,4.7
Linear Algebra for Data Science Using Python Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/linear-algebra-data-science-python,1 months at 10 hours a week,3.8
Probability Theory: Foundation for Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/probability-theory-foundation-for-data-science,40 hours (approximately),4.5
Microsoft Azure Data Engineering Associate (DP-203) Professional Certificate,DataScience,Intermediate level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/microsoft-azure-dp-203-data-engineering,3 months at 10 hours a week,4.3
Data-driven Decision Making,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/decision-making,9 hours (approximately),4.6
Data Analysis and Presentation Skills: the PwC Approach Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/pwc-analytics,2 months at 10 hours a week,4.7
Python for Genomic Data Science,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/python-genomics,8 hours (approximately),4.3
Generative AI: Elevate Your Data Science Career,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-elevate-your-data-science-career,11 hours (approximately),
Materials Data Sciences and Informatics,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/material-informatics,Approx. 9 hours to complete,4.5
GPU Programming Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/gpu-programming,2 months at 10 hours a week,
IBM Business Intelligence (BI) Analyst Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/bi-analyst,,4.9
Use Tableau for Your Data Science Workflow Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/tableau-for-data-science-workflows,1 months at 10 hours a week,4
R Programming,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/r-programming,57 hours (approximately),4.5
"Decisions, Decisions: Dashboards and Reports",DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/decisions-decisions-dashboards-and-reports,27 hours (approximately),4.8
Microsoft Azure Data Fundamentals DP-900 Exam Prep Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/microsoft-azure-dp-900-data-fundamentals,1 months at 10 hours a week,4.7
Leverage Data Science for a More Agile Supply Chain Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/leverage-data-science-agile-supply-chain,3 months at 2 hours a week,4.5
Understanding and Visualizing Data with Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/understanding-visualization-data,19 hours (approximately),4.7
Data Analysis and Visualization Foundations Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/data-analysis-visualization-foundations,1 months at 10 hours a week,4.8
Computational Neuroscience,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computational-neuroscience,Approx. 26 hours to complete,4.6
Data Analysis Using Pyspark,DataScience,Intermediate level,Guided Project,,https://www.coursera.org/projects/data-analysis-using-pyspark,,4.5
Data Visualization & Dashboarding with R Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/jhu-data-visualization-dashboarding-with-r,2 months at 10 hours a week,4.9
Probabilistic Graphical Models  Specialization,DataScience,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/probabilistic-graphical-models,4 months at 10 hours a week,4.6
Algorithms Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/algorithms,2 months at 10 hours a week,4.8
"GIS, Mapping, and Spatial Analysis Specialization",DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/gis-mapping-spatial-analysis,2 months at 10 hours a week,4.9
Data Analysis Using Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-analysis-python,16 hours (approximately),4.5
Generative AI: Prompt Engineering Basics,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-prompt-engineering-for-everyone,7 hours (approximately),4.8
Julia for Beginners in Data Science,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/julia-beginners-data-science,1 hour 30 minutes,4.4
Investment Management with Python and Machine Learning Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/investment-management-python-machine-learning,2 months at 10 hours a week,4.5
Essential Causal Inference Techniques for Data Science,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/essential-causal-inference-for-data-science,2 hours,4.5
Python 3 Programming Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/python-3-programming,3 months at 10 hours a week,4.7
Introduction to Relational Database and SQL,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/introduction-to-relational-database-and-sql,,4.6
Developing Applications with Google Cloud Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/developing-apps-gcp,1 months at 10 hours a week,4.7
Data Visualization and Communication with Tableau,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/analytics-tableau,24 hours (approximately),4.7
Get Started with Python,DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/get-started-with-python,30 hours (approximately),4.8
Applied Machine Learning in Python,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/python-machine-learning,31 hours (approximately),4.6
The Arts and Science of Relationships: Understanding Human Needs,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/human-needs,Approx. 31 hours to complete,4.5
Research Data Management and Sharing,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/data-management,Approx. 13 hours to complete,4.7
Perform data science with Azure Databricks,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/perform-data-science-with-azure-databricks,25 hours (approximately),3.4
Astronomy: Exploring Time and Space,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/astro,Approx. 43 hours to complete,4.8
NLP: Twitter Sentiment Analysis,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/twitter-sentiment-analysis,2 hours,4.6
Creating Business Value with Data and Looker Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/creating-business-value-with-data-and-looker,1 months at 10 hours a week,4.7
Data Analysis with SQL: Inform a Business Decision,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/award-sales-incentive-bonuses-using-w3schools-sql-tool,,4.5
Integral Calculus through Data and Modeling Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/integral-calculus-data-modeling,1 months at 10 hours a week,4.8
Python Packages for Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/python-packages-data-science,19 hours (approximately),4.5
Web Applications for Everybody Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/web-applications,2 months at 10 hours a week,4.8
Reinforcement Learning Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/reinforcement-learning,2 months at 10 hours a week,4.8
SAS Visual Business Analytics Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/sas-visual-business-analytics,1 months at 10 hours a week,4.7
Data Processing Using Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-data-processing,Approx. 29 hours to complete,4.1
Advanced Clinical Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/advanced-clinical-data-science,4 hours (approximately),4.8
"DevOps, DataOps, MLOps",DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/devops-dataops-mlops-duke,45 hours (approximately),3.7
Data Collection and Processing with Python,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/data-collection-processing-python,16 hours (approximately),4.7
"Algorithms for Searching, Sorting, and Indexing",DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/algorithms-searching-sorting-indexing,35 hours (approximately),4.7
Fundamentals of Computing Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/computer-fundamentals,2 months at 10 hours a week,4.8
Viral Marketing and How to Craft Contagious Content,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/wharton-contagious-viral-marketing,Approx. 4 hours to complete,4.8
Introduction to Clinical Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-clinical-data-science,8 hours (approximately),4.5
Biology Meets Programming: Bioinformatics for Beginners,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/bioinformatics,Approx. 18 hours to complete,4.2
The Nature of Data and Relational Database Design,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/nature-of-data-relational-database-design,6 hours (approximately),4.5
Programming Fundamentals,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/programming-fundamentals,18 hours (approximately),4.7
Bioconductor for Genomic Data Science,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/bioconductor,8 hours (approximately),3.8
Linear Algebra from Elementary to Advanced Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/linear-algebra-elementary-to-advanced,1 months at 10 hours a week,4.8
Understanding Medical Research: Your Facebook Friend is Wrong,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/medical-research,Approx. 16 hours to complete,4.9
"Strategic Leadership: Impact, Change, and Decision-Making Specialization",DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/strategic-leadership-impact-change-decision-making,2 months at 10 hours a week,4.9
Machine Learning for All,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/uol-machine-learning-for-all,Approx. 21 hours to complete,4.7
User Experience Research and Design Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/michiganux,2 months at 10 hours a week,4.8
An Intuitive Introduction to Probability,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introductiontoprobability,Approx. 29 hours to complete,4.8
Statistical Inference and Hypothesis Testing in Data Science Applications,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/statistical-inference-and-hypothesis-testing-in-data-science-applications,36 hours (approximately),4.8
Narrative Economics,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/narrative-economics,Approx. 5 hours to complete,4.8
Avoiding Data Science Pitfalls,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/ds-pitfalls,,
MLOps | Machine Learning Operations Specialization,DataScience,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/mlops-machine-learning-duke,6 months at 5 hours a week,3.8
Project Management Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/meem-project-management,2 months at 10 hours a week,4.8
Julia Scientific Programming,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/julia-programming,Approx. 19 hours to complete,4.4
Deep Learning for Healthcare Specialization,DataScience,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/deep-learning-healthcare,2 months at 10 hours a week,3.1
"Sequences, Time Series and Prediction",DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/tensorflow-sequences-time-series-and-prediction,22 hours (approximately),4.7
"Philosophy, Science and Religion: Philosophy and Religion",DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/philosophy-science-religion-2,Approx. 24 hours to complete,4.6
Supervised Machine Learning: Regression and Classification,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/machine-learning,33 hours (approximately),4.9
Microsoft Azure Machine Learning,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/microsoft-azure-machine-learning,11 hours (approximately),4.5
Machine Learning for Supply Chains Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/machine-learning-supply-chain,1 months at 10 hours a week,3.7
Generative AI: Foundation Models and Platforms,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-foundation-models-and-platforms,6 hours (approximately),4.8
Getting Started with Go,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/golang-getting-started,10 hours (approximately),4.6
"HTML, CSS, and Javascript for Web Developers",DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/html-css-javascript-for-web-developers,Approx. 40 hours to complete,4.7
Advanced Machine Learning on Google Cloud Specialization,DataScience,Advanced level,Specializations,Flexible schedule,https://www.coursera.org/specializations/advanced-machine-learning-tensorflow-gcp,2 months at 10 hours a week,4.5
HR Analytics- Build an HR dashboard using Power BI,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/hr-analytics-build-hr-dashboard-using-power-bi,1 hour,4.6
TensorFlow 2 for Deep Learning Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/tensorflow2-deeplearning,3 months at 10 hours a week,4.8
Data Visualization with Advanced Excel,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/advanced-excel,15 hours (approximately),4.8
A Crash Course in Causality:  Inferring Causal Effects from Observational Data,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/crash-course-in-causality,Approx. 18 hours to complete,4.7
Design a User Experience for Social Good & Prepare for Jobs,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ux-design-jobs,24 hours (approximately),4.9
Microsoft Azure AI Fundamentals AI-900 Exam Prep Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/microsoft-azure-ai-900-ai-fundamentals,1 months at 10 hours a week,4.6
Harnessing the Power of Data with Power BI,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/harnessing-the-power-of-data-with-power-bi,19 hours (approximately),4.5
An Introduction to Programming using Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/an-introduction-to-programming-using-python,Approx. 9 hours to complete,4.7
Fundamentals of Graphic Design,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/fundamentals-of-graphic-design,15 hours (approximately),4.8
Econometrics: Methods and Applications,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/erasmus-econometrics,Approx. 66 hours to complete,4.6
The Full Stack,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/the-full-stack,24 hours (approximately),4.6
Fundamentals of Machine Learning for Healthcare,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/fundamental-machine-learning-healthcare,14 hours (approximately),4.8
Computational Thinking for Problem Solving,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/computational-thinking-problem-solving,Approx. 17 hours to complete,4.7
AutoML tools for data science,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/automl,,
Fundamentals of Scalable Data Science,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ds,27 hours (approximately),4.3
Practical Data Science with MATLAB Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/practical-data-science-matlab,2 months at 4 hours a week,4.8
Essential Linear Algebra for Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/essential-linear-algebra-for-data-science,7 hours (approximately),4.5
SQL for Data Science Capstone Project,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/sql-data-science-capstone,35 hours (approximately),4.2
Statistics for Genomic Data Science,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/statistical-genomics,9 hours (approximately),4.2
Command Line Tools for Genomic Data Science,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/genomic-tools,11 hours (approximately),4
Data Science Fundamentals for Data Analysts,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/data-science-fundamentals-for-data-analysts,18 hours (approximately),4.2
Integral Calculus and Numerical Analysis for Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/integral-calculus-and-numerical-analysis-for-data-science,3 hours (approximately),4.6
Prepare for DP-100: Data Science on Microsoft Azure Exam,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/prepare-for-dp-100-design-a-data-science-solution-on-azure,9 hours (approximately),4.6
Introduction to Data Science and scikit-learn in Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-science-and-scikit-learn-in-python,13 hours (approximately),3.8
"Intro to Analytic Thinking, Data Science, and Data Mining",DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/intro-analyticthinking-datascience-datamining,7 hours (approximately),4.2
Advanced Linear Models for Data Science 1: Least Squares,DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/linear-models,8 hours (approximately),4.5
Data Science Capstone,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/data-science-project,5 hours (approximately),4.5
Genomic Data Science and Clustering (Bioinformatics V),DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/genomic-data,9 hours (approximately),4.2
Data Science Project: MATLAB for the Real World,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/matlab-capstone,13 hours (approximately),4.8
Advanced Linear Models for Data Science 2: Statistical Linear Models,DataScience,Advanced level,Course,Flexible schedule,https://www.coursera.org/learn/linear-models-2,5 hours (approximately),4.5
Address Business Issues with Data Science,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/address-business-issues-with-data-science,6 hours (approximately),4.5
Executive Data Science Capstone,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/executive-data-science-capstone,2 hours (approximately),4.7
Finalize a Data Science Project,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/finalize-a-data-science-project,12 hours (approximately),
Use Tableau for your Data Science Workflow,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/use-tableau-for-your-data-science-workflow,Approx. 3 hours to complete,
Data science perspectives on pandemic management,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-science-perspectives-on-pandemic-management,Approx. 9 hours to complete,
Communicating Data Science Results,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/data-results,8 hours (approximately),3.4
Introduction to Widgets for Data Science,DataScience,Beginner level,Guided Project,,https://www.coursera.org/projects/widgets-for-ds,,
Capstone: Data Science Problem in Linear Algebra Framework,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/capstone-a-data-science-problem-in-linear-algebra-framework,8 hours (approximately),
Data Science at Scale - Capstone Project,DataScience,,Course,Flexible schedule,https://www.coursera.org/learn/datasci-capstone,6 hours (approximately),3.8
Google IT Support Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/google-it-support,6 months at 10 hours a week,4.8
Prompt Engineering Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/prompt-engineering,1 months at 10 hours a week,4.9
Generative AI with Large Language Models,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-with-llms,Approx. 16 hours to complete,4.8
Information Technology (IT) and Cloud Fundamentals Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/it-cloud-fundamentals,2 months at 10 hours a week,4.8
IBM IT Project Manager Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-it-project-manager,4 months at 10 hours a week,4.8
IBM Data Warehouse Engineer Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/data-warehouse-engineering,3 months at 10 hours a week,4.7
"BI Foundations with SQL, ETL and Data Warehousing Specialization",DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/bi-foundations-sql-etl-data-warehouse,2 months at 10 hours a week,4.6
Foundations of Cybersecurity,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/foundations-of-cybersecurity,21 hours (approximately),4.9
IBM Full-Stack JavaScript Developer Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-full-stack-javascript-developer,5 months at 10 hours a week,4.8
AI in Healthcare Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ai-healthcare,1 months at 10 hours a week,4.7
Generative AI for Everyone,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-for-everyone,Approx. 5 hours to complete,4.9
Generative AI Fundamentals Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/generative-ai-for-everyone,1 months at 5 hours a week,4.7
IBM Back-end JavaScript Developer Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/backend-javascript-developer,5 months at 10 hours a week,4.8
Meta Back-End Developer Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/meta-back-end-developer,8 months at 6 hours a week,4.7
Prompt Engineering for ChatGPT,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/prompt-engineering,18 hours (approximately),4.8
Ask Questions to Make Data-Driven Decisions,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/ask-questions-make-decisions,21 hours (approximately),4.7
IBM Introduction to Machine Learning Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ibm-intro-machine-learning,2 months at 10 hours a week,4.7
Advanced Learning Algorithms,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/advanced-learning-algorithms,34 hours (approximately),4.9
Connect and Protect: Networks and Network Security,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/networks-and-network-security,14 hours (approximately),4.8
Neural Networks and Deep Learning,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/neural-networks-deep-learning,24 hours (approximately),4.9
"JavaScript Programming with React, Node & MongoDB Specialization",DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/javascript-programming-with-react-node-mongodb,2 months at 10 hours a week,
Construction Management Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/construction-management,2 months at 10 hours a week,4.8
Prepare Data for Exploration,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/data-preparation,25 hours (approximately),4.8
Introduction to Psychology,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/introduction-psychology,Approx. 14 hours to complete,4.9
DevOps on AWS Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/aws-devops,1 months at 10 hours a week,4.7
AI Product Management Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ai-product-management-duke,4 months at 5 hours a week,4.7
Process Data from Dirty to Clean,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/process-data,26 hours (approximately),4.8
OKR Certification: Leadership and Goal Setting,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/okr,Approx. 23 hours to complete,4.9
Crash Course on Python,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python-crash-course,39 hours (approximately),4.8
Programming for Everybody (Getting Started with Python),DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/python,19 hours (approximately),4.8
"Improving Deep Neural Networks: Hyperparameter Tuning, Regularization and Optimization",DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/deep-neural-network,23 hours (approximately),4.9
"Assets, Threats, and Vulnerabilities",DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/assets-threats-and-vulnerabilities,26 hours (approximately),4.8
Microsoft Azure Fundamentals AZ-900 Exam Prep Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/microsoft-azure-fundamentals-az-900,1 months at 10 hours a week,4.6
Analyze Data to Answer Questions,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/analyze-data,32 hours (approximately),4.6
TensorFlow: Advanced Techniques Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/tensorflow-advanced-techniques,2 months at 10 hours a week,4.8
Achieving Personal and Professional Success Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/wharton-success,1 months at 10 hours a week,4.7
UI / UX Design Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ui-ux-design,2 months at 10 hours a week,4.7
Entrepreneurship: Growing Your Business Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/entrepreneurship-growing-your-business,1 months at 10 hours a week,4.8
AI for Medicine Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/ai-for-medicine,2 months at 10 hours a week,4.7
Geographic Information Systems  (GIS) Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/gis,2 months at 10 hours a week,4.8
Overcoming Dyslexia,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/dyslexia,Approx. 12 hours to complete,4.8
Google Professional Workspace Administrator Professional Certificate,DataScience,Beginner level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/g-suite-administration,1 months at 10 hours a week,4.7
Sound the Alarm: Detection and Response,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/detection-and-response,24 hours (approximately),4.8
IBM Mainframe Developer Professional Certificate,DataScience,Intermediate level,Professional Certificates,Flexible schedule,https://www.coursera.org/professional-certificates/ibm-mainframe-developer,3 months at 10 hours a week,4.3
Share Data Through the Art of Visualization,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/visualize-data,25 hours (approximately),4.6
Generative AI: Introduction and Applications,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/generative-ai-introduction-and-applications,6 hours (approximately),4.7
Convolutional Neural Networks,DataScience,Intermediate level,Course,Flexible schedule,https://www.coursera.org/learn/convolutional-neural-networks,35 hours (approximately),4.9
Drug Development Product Management Specialization,DataScience,Beginner level,Specializations,Flexible schedule,https://www.coursera.org/specializations/drug-development-product-management,1 months at 10 hours a week,4.7
Machine Learning on Google Cloud Specialization,DataScience,Intermediate level,Specializations,Flexible schedule,https://www.coursera.org/specializations/machine-learning-tensorflow-gcp,2 months at 10 hours a week,4.6
Preparing  Data for Analysis with Microsoft Excel,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/preparing-data-for-analysis-with-microsoft-excel,18 hours (approximately),4.7
Structuring Machine Learning Projects,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/machine-learning-projects,6 hours (approximately),4.8
Cybersecurity for Everyone,DataScience,Beginner level,Course,Flexible schedule,https://www.coursera.org/learn/cybersecurity-for-everyone,Approx. 21 hours to complete,4.7
